Date,Real,Prediccion_Prophet,Prediccion_ARIMA,Prediccion_LSTM,Escenario_Base,Escenario_Optimista,Escenario_Pesimista
2015-01-24,5811369,6001543.2345406,5775527.235605281,5162536.625069857,6001543.2345406,6601697.557994661,5401388.911086541
2015-01-25,179028,92172.81560767892,695344.6651345873,3429298.094323054,92172.81560767892,101390.09716844681,82955.53404691102
2015-01-26,9401803,9413019.264264056,8261890.128293607,10624170.11976093,9413019.264264056,10354321.190690463,8471717.337837651
2015-01-27,8392342,8282638.151479084,7913481.103765825,9352032.947963355,8282638.151479084,9110901.966626992,7454374.336331176
2015-01-28,7930037,7927264.593899998,7662895.670367145,8672557.044181287,7927264.593899998,8719991.053289998,7134538.134509998
2015-01-29,8024066,7982435.328465023,7870191.427774359,8119221.43929261,7982435.328465023,8780678.861311527,7184191.795618521
2015-01-30,9454954,8339733.901348351,7934251.893617062,7519866.461073399,8339733.901348351,9173707.291483186,7505760.511213516
2015-01-31,7354597,6105148.9048178885,6884680.898574093,6928673.86692673,6105148.9048178885,6715663.795299678,5494634.0143361
2015-02-01,225556,180088.41498314223,1502292.462910627,1225179.0762262794,180088.41498314223,198097.25648145645,162079.573484828
2015-02-02,10291172,9795523.718768349,7453842.626904093,8700392.439661324,9795523.718768349,10775076.090645185,8815971.346891515
2015-02-03,8904680,8635973.00736985,6822210.150959658,10527210.806647062,8635973.00736985,9499570.308106836,7772375.706632865
2015-02-04,8136074,8244212.116427237,6697693.505030351,9872162.826898873,8244212.116427237,9068633.32806996,7419790.904784514
2015-02-05,7973916,8278435.440446373,7072170.21941422,9171500.816702664,8278435.440446373,9106278.984491011,7450591.896401736
2015-02-06,8439787,8616766.217582589,7555687.118924639,8077790.399321675,8616766.217582589,9478442.839340849,7755089.59582433
2015-02-07,6594669,6020405.6253301045,6538790.538140754,7068966.925414383,6020405.6253301045,6622446.187863115,5418365.062797094
2015-02-08,208209,67813.37850036255,975169.383574822,0.0,67813.37850036255,74594.71635039881,61032.0406503263
2015-02-09,6477197,7340506.463462488,9300334.174292672,7571226.550785184,7340506.463462488,8074557.109808737,6606455.817116239
2015-02-10,6345089,6170872.870981467,7902070.143255068,5816184.413536668,6170872.870981467,6787960.158079614,5553785.58388332
2015-02-11,6393495,5779460.257470472,6715301.959978319,4880545.689611316,5779460.257470472,6357406.2832175195,5201514.231723425
2015-02-12,6151076,5796215.2135806205,7071922.025985142,4777039.811312735,5796215.2135806205,6375836.734938683,5216593.692222559
2015-02-13,7212357,6134949.6165710185,8382252.494214768,4751069.178180337,6134949.6165710185,6748444.578228121,5521454.654913917
2015-02-14,6701361,5875398.741438026,6515948.401020952,4284364.046424389,5875398.741438026,6462938.615581829,5287858.867294223
2015-02-15,217257,0.0,964583.3592811348,2510441.3060860783,0.0,0.0,0.0
2015-02-16,9321996,9312323.041977828,8722678.348951183,10652201.708599629,9312323.041977828,10243555.346175613,8381090.737780046
2015-02-17,8299474,8356014.228621265,8253942.947462581,10683227.097038629,8356014.228621265,9191615.651483392,7520412.805759138
2015-02-18,8058390,7986264.950289619,7791324.622436291,9568957.09637469,7986264.950289619,8784891.445318582,7187638.455260658
2015-02-19,8031173,8032705.813867947,7867830.777964107,8393629.316350877,8032705.813867947,8835976.395254742,7229435.232481153
2015-02-20,8094451,8380153.663981742,8085997.519961878,7273016.347383857,8380153.663981742,9218169.030379917,7542138.297583568
2015-02-21,6290922,5810008.719950974,6888272.2739797,6443672.779035389,5810008.719950974,6391009.591946072,5229007.847955877
