Date,Real,Prediccion_ARIMA
2015-01-24,5811369,5775527.235605281
2015-01-25,179028,695344.6651345873
2015-01-26,9401803,8261890.128293607
2015-01-27,8392342,7913481.103765825
2015-01-28,7930037,7662895.670367145
2015-01-29,8024066,7870191.4277743595
2015-01-30,9454954,7934251.893617062
2015-01-31,7354597,6884680.898574093
2015-02-01,225556,1502292.462910627
2015-02-02,10291172,7453842.626904093
2015-02-03,8904680,6822210.150959658
2015-02-04,8136074,6697693.505030351
2015-02-05,7973916,7072170.21941422
2015-02-06,8439787,7555687.118924639
2015-02-07,6594669,6538790.538140754
2015-02-08,208209,975169.383574822
2015-02-09,6477197,9300334.174292672
2015-02-10,6345089,7902070.143255068
2015-02-11,6393495,6715301.959978319
2015-02-12,6151076,7071922.025985142
2015-02-13,7212357,8382252.494214768
2015-02-14,6701361,6515948.401020952
2015-02-15,217257,964583.3592811348
2015-02-16,9321996,8722678.348951183
2015-02-17,8299474,8253942.947462581
2015-02-18,8058390,7791324.622436291
2015-02-19,8031173,7867830.777964107
2015-02-20,8094451,8085997.519961878
2015-02-21,6290922,6888272.2739797
2015-02-22,199419,911973.1408890272
2015-02-23,5984980,7095100.811216852
2015-02-24,6021986,6440148.76684973
2015-02-25,6028364,5906697.945327332
2015-02-26,6471718,6038454.502568413
2015-02-27,7778945,7095176.897648903
2015-02-28,7421745,6360199.196732078
2015-03-01,228942,1385155.0254511023
2015-03-02,10933146,8248558.200707786
2015-03-03,9234921,8236974.008904119
2015-03-04,8421680,8162460.474721534
2015-03-05,8263354,8454179.023905259
2015-03-06,8504508,8091852.350134248
2015-03-07,6565020,6955112.306535584
2015-03-08,201341,791948.6104653347
2015-03-09,6765029,7291922.417975572
2015-03-10,6211021,6557577.079309155
2015-03-11,6272025,5751657.854817167
2015-03-12,6376255,6278801.057638876
2015-03-13,6942094,7599408.014039978
2015-03-14,6625997,6673096.447063228
2015-03-15,244505,1035192.0497116242
2015-03-16,10877344,9211089.40356649
2015-03-17,8792886,8674383.435224844
2015-03-18,7993269,8218892.551336405
2015-03-19,8073881,8301334.366624788
2015-03-20,8291098,7954725.972878975
2015-03-21,6398094,6851518.196167157
