Date,Real,Prediccion_Prophet
2015-01-24,5811369,6001543.2345406
2015-01-25,179028,92172.81560767893
2015-01-26,9401803,9413019.264264056
2015-01-27,8392342,8282638.151479084
2015-01-28,7930037,7927264.593899998
2015-01-29,8024066,7982435.328465023
2015-01-30,9454954,8339733.9013483515
2015-01-31,7354597,6105148.9048178885
2015-02-01,225556,180088.41498314223
2015-02-02,10291172,9795523.718768347
2015-02-03,8904680,8635973.00736985
2015-02-04,8136074,8244212.116427237
2015-02-05,7973916,8278435.440446373
2015-02-06,8439787,8616766.217582589
2015-02-07,6594669,6020405.6253301045
2015-02-08,208209,67813.37850036255
2015-02-09,6477197,7340506.463462488
2015-02-10,6345089,6170872.870981467
2015-02-11,6393495,5779460.257470472
2015-02-12,6151076,5796215.2135806205
2015-02-13,7212357,6134949.6165710185
2015-02-14,6701361,5875398.741438026
2015-02-15,217257,0.0
2015-02-16,9321996,9312323.041977827
2015-02-17,8299474,8356014.228621265
2015-02-18,8058390,7986264.950289619
2015-02-19,8031173,8032705.813867947
2015-02-20,8094451,8380153.663981742
2015-02-21,6290922,5810008.719950974
2015-02-22,199419,0.0
2015-02-23,5984980,6836768.057368649
2015-02-24,6021986,5696869.667089061
2015-02-25,6028364,5333987.323056622
2015-02-26,6471718,5385165.030784427
2015-02-27,7778945,5742292.921916394
2015-02-28,7421745,5847969.126456877
2015-03-01,228942,0.0
2015-03-02,10933146,9547449.472078903
2015-03-03,9234921,8410369.210425077
2015-03-04,8421680,8047919.018119132
2015-03-05,8263354,8097765.758616498
2015-03-06,8504508,8452195.76304387
2015-03-07,6565020,5892400.93621214
2015-03-08,201341,26520.531804077353
2015-03-09,6765029,7259995.487018161
2015-03-10,6211021,6121472.122167965
2015-03-11,6272025,5750151.056753063
2015-03-12,6376255,5798548.436300434
2015-03-13,6942094,6152148.014226336
2015-03-14,6625997,5922788.534539135
2015-03-15,244505,135558.29220631628
2015-03-16,10877344,9273016.427113269
2015-03-17,8792886,8139204.672716713
2015-03-18,7993269,7772874.65972313
2015-03-19,8073881,7833863.087388213
2015-03-20,8291098,8200471.000826059
2015-03-21,6398094,5985434.728972744
2015-03-22,235852,218646.70918790274
2015-03-23,6788834,7036891.350571215
2015-03-24,6226359,5911493.250402709
2015-03-25,6073784,5898144.657054557
2015-03-26,6362734,5964643.218062525
2015-03-27,7078009,6328135.948566318
2015-03-28,6829093,6440628.533517901
2015-03-29,226242,673720.684133025
2015-03-30,12371453,9798539.404071769
2015-03-31,11222913,8671319.021768685
2015-04-01,11102030,8314550.527355505
2015-04-02,11400447,8367263.851855891
2015-04-03,242473,1603801.491973288
2015-04-04,9366558,6511754.390697849
2015-04-05,217211,740010.1919396227
2015-04-06,272921,522518.25640749634
2015-04-07,7896155,6392913.764404006
