Date,Sales,Year,Month,DayOfWeek,WeekOfYear,Media_movil_7,Media_movil_30
2013-01-01,97235,2013,1,2,1,,
2013-01-02,6949829,2013,1,3,1,,
2013-01-03,6347820,2013,1,4,1,,
2013-01-04,6638954,2013,1,5,1,,
2013-01-05,5951593,2013,1,6,1,,
2013-01-06,143904,2013,1,7,1,,
2013-01-07,10826848,2013,1,1,2,5279454.714285715,
2013-01-08,8749437,2013,1,2,2,6515483.571428572,
2013-01-09,7746603,2013,1,3,2,6629308.428571428,
2013-01-10,7751485,2013,1,4,2,6829832.0,
2013-01-11,8039306,2013,1,5,2,7029882.285714285,
2013-01-12,6017491,2013,1,6,2,7039296.285714285,
2013-01-13,144052,2013,1,7,2,7039317.428571428,
2013-01-14,5886788,2013,1,1,3,6333594.571428572,
2013-01-15,5512591,2013,1,2,3,5871188.0,
2013-01-16,5293020,2013,1,3,3,5520676.142857143,
2013-01-17,5386564,2013,1,4,3,5182830.285714285,
2013-01-18,6137010,2013,1,5,3,4911073.714285715,
2013-01-19,6010192,2013,1,6,3,4910031.0,
2013-01-20,151600,2013,1,7,3,4911109.285714285,
2013-01-21,8761074,2013,1,1,4,5321721.571428572,
2013-01-22,8320289,2013,1,2,4,5722821.285714285,
2013-01-23,7746563,2013,1,3,4,6073327.428571428,
2013-01-24,7439836,2013,1,4,4,6366652.0,
2013-01-25,7780789,2013,1,5,4,6601477.571428572,
2013-01-26,5848770,2013,1,6,4,6578417.285714285,
2013-01-27,142848,2013,1,7,4,6577167.0,
2013-01-28,5878702,2013,1,1,5,6165399.571428572,
2013-01-29,5452668,2013,1,2,5,5755739.428571428,
2013-01-30,5909779,2013,1,3,5,5493341.714285715,5768788.0
2013-01-31,7068567,2013,1,4,5,5440303.285714285,6001165.733333333
2013-02-01,7203007,2013,2,5,5,5357763.0,6009605.0
2013-02-02,6781741,2013,2,6,5,5491044.571428572,6024069.033333333
2013-02-03,171565,2013,2,7,5,5495147.0,5808489.4
2013-02-04,10333651,2013,2,1,6,6131568.285714285,5954558.0
2013-02-05,8841604,2013,2,2,6,6615702.0,6244481.333333333
2013-02-06,8094803,2013,2,3,6,6927848.285714285,6153413.166666667
2013-02-07,7430076,2013,2,4,6,6979492.428571428,6109434.466666667
2013-02-08,7968566,2013,2,5,6,7088858.0,6116833.233333333
2013-02-09,6161019,2013,2,6,6,7000183.428571428,6063817.7
2013-02-10,172564,2013,2,7,6,7000326.142857143,5801592.966666667
2013-02-11,5517060,2013,2,1,7,6312241.714285715,5784911.933333334
2013-02-12,5563503,2013,2,2,7,5843941.571428572,5965560.3
2013-02-13,6175147,2013,2,3,7,5569705.0,5975172.266666667
2013-02-14,6422292,2013,2,4,7,5425735.857142857,6005495.633333334
2013-02-15,6255053,2013,2,5,7,5180948.285714285,6037563.4
2013-02-16,6162142,2013,2,6,7,5181108.714285715,6063416.0
2013-02-17,174467,2013,2,7,7,5181380.571428572,5864664.566666666
2013-02-18,10703641,2013,2,1,8,5922320.714285715,6021112.866666666
2013-02-19,7988672,2013,2,2,8,6268773.428571428,6282348.6
2013-02-20,7759768,2013,2,3,8,6495147.857142857,6248971.733333333
2013-02-21,7611880,2013,2,4,8,6665089.0,6225358.1
2013-02-22,7840974,2013,2,5,8,6891649.142857143,6228505.133333334
2013-02-23,5637945,2013,2,6,8,6816763.857142857,6168442.1
2013-02-24,159057,2013,2,7,8,6814562.428571428,5914384.366666666
2013-02-25,5615365,2013,2,1,9,6087665.857142857,5906604.2
2013-02-26,5671238,2013,2,2,9,5756603.857142857,6090883.866666666
2013-02-27,6008503,2013,2,3,9,5506423.142857143,6095210.566666666
2013-02-28,7108972,2013,2,4,9,5434579.142857143,6150420.7
2013-03-01,7244231,2013,3,5,9,5349330.142857143,6194902.433333334
2013-03-02,6779350,2013,3,6,9,5512388.0,6185261.866666666
2013-03-03,195229,2013,3,7,9,5517555.428571428,5951669.266666667
2013-03-04,11072682,2013,3,1,10,6297172.142857143,6094700.633333334
2013-03-05,8943536,2013,3,2,10,6764643.285714285,6387099.666666667
2013-03-06,8062941,2013,3,3,10,7058134.428571428,6311409.333333333
2013-03-07,7981811,2013,3,4,10,7182825.714285715,6282749.566666666
2013-03-08,8118153,2013,3,5,10,7307671.714285715,6283527.9
2013-03-09,6061383,2013,3,6,10,7205105.0,6237904.8
2013-03-10,164917,2013,3,7,10,7200774.714285715,5977783.166666667
2013-03-11,6194538,2013,3,1,11,6503897.0,5978900.466666667
2013-03-12,5338418,2013,3,2,11,5988880.142857143,6151095.6
2013-03-13,5830737,2013,3,3,11,5669993.857142857,6161551.5
2013-03-14,6098093,2013,3,4,11,5400891.285714285,6179371.166666667
2013-03-15,6783348,2013,3,5,11,5210204.857142857,6199644.533333333
2013-03-16,6459058,2013,3,6,11,5267015.571428572,6200870.066666666
2013-03-17,193072,2013,3,7,11,5271037.714285715,5998804.033333333
2013-03-18,10078195,2013,3,1,12,5825845.857142857,6129339.133333334
2013-03-19,8528292,2013,3,2,12,6281542.142857143,6407799.966666667
2013-03-20,7728892,2013,3,3,12,6552707.142857143,6308641.666666667
2013-03-21,7897067,2013,3,4,12,6809703.428571428,6305588.166666667
2013-03-22,8245992,2013,3,5,12,7018652.571428572,6321795.633333334
2013-03-23,6337911,2013,3,6,12,7001345.857142857,6279330.0
2013-03-24,191036,2013,3,7,12,7001055.0,6024332.066666666
2013-03-25,10482556,2013,3,1,13,7058820.857142857,6185819.1
2013-03-26,9305505,2013,3,2,13,7169851.285714285,6490700.7
2013-03-27,9674698,2013,3,3,13,7447823.571428572,6626011.8
2013-03-28,11417987,2013,3,4,13,7950812.142857143,6817570.1
2013-03-29,213921,2013,3,5,13,6803373.428571428,6624417.366666666
2013-03-30,9380402,2013,3,6,13,7238015.0,6700131.7
2013-03-31,176418,2013,3,7,13,7235926.714285715,6464537.933333334
2013-04-01,241076,2013,4,1,14,5772858.142857143,6246595.466666667
2013-04-02,7362049,2013,4,2,14,5495221.571428572,6485489.466666667
2013-04-03,6406442,2013,4,3,14,5028327.857142857,6329948.133333334
2013-04-04,6496112,2013,4,4,14,4325202.857142857,6248367.333333333
2013-04-05,6622062,2013,4,5,14,5240651.571428572,6200338.033333333
2013-04-06,6171054,2013,4,6,14,4782173.285714285,6139979.466666667
2013-04-07,189097,2013,4,7,14,4783984.571428572,5875677.6
2013-04-08,10115602,2013,4,1,15,6194631.142857143,6010818.233333333
2013-04-09,8418477,2013,4,2,15,6345549.428571428,6285936.9
2013-04-10,7698779,2013,4,3,15,6530169.0,6336078.266666667
2013-04-11,7580421,2013,4,4,15,6685070.285714285,6410811.7
2013-04-12,8056347,2013,4,5,15,6889968.142857143,6484998.7
2013-04-13,6024315,2013,4,6,15,6869005.428571428,6482539.433333334
2013-04-14,182641,2013,4,7,15,6868083.142857143,6262515.866666666
2013-04-15,5711125,2013,4,1,16,6238872.142857143,6237584.766666667
2013-04-16,5668517,2013,4,2,16,5846020.714285715,6420099.6
2013-04-17,5556697,2013,4,3,16,5540009.0,6269383.0
2013-04-18,5726233,2013,4,4,16,5275125.0,6175981.033333333
2013-04-19,6349901,2013,4,5,16,5031347.0,6130014.666666667
2013-04-20,6006147,2013,4,6,16,5028751.571428572,6066984.0
2013-04-21,188406,2013,4,7,16,5029575.142857143,5798397.8
2013-04-22,9542000,2013,4,1,17,5576843.0,5905200.766666667
2013-04-23,8047511,2013,4,2,17,5916699.285714285,6167083.266666667
2013-04-24,7177730,2013,4,3,17,6148275.428571428,6056922.4
2013-04-25,7121467,2013,4,4,17,6347594.571428572,5984121.133333334
2013-04-26,7652433,2013,4,5,17,6533670.571428572,5916712.3
2013-04-27,6308284,2013,4,6,17,6576833.0,5746388.866666666
2013-04-28,205232,2013,4,7,17,6579236.714285715,5746099.233333333
2013-04-29,10040182,2013,4,1,18,6650405.571428572,5768091.9
2013-04-30,10565093,2013,4,2,18,7010060.142857143,6114381.066666666
2013-05-01,200972,2013,5,3,18,6013380.428571428,6113044.266666667
2013-05-02,9884371,2013,5,4,18,6408081.0,6197121.666666667
2013-05-03,8967338,2013,5,5,18,6595924.571428572,6282484.866666666
2013-05-04,6487719,2013,5,6,18,6621558.142857143,6282205.1
2013-05-05,200337,2013,5,7,18,6620858.857142857,6068147.6
2013-05-06,6884920,2013,5,1,19,6170107.142857143,6091943.133333334
2013-05-07,6697752,2013,5,2,19,5617629.857142857,6308898.3
2013-05-08,7693180,2013,5,3,19,6687945.285714285,6228150.9
2013-05-09,233215,2013,5,4,19,5309208.714285715,5955308.833333333
2013-05-10,8481406,2013,5,5,19,5239789.857142857,5981396.4
2013-05-11,6658662,2013,5,6,19,5264210.285714285,5950671.1
2013-05-12,215592,2013,5,7,19,5266389.571428572,5689312.6
2013-05-13,9826496,2013,5,1,20,5686614.714285715,5816051.966666667
2013-05-14,8662237,2013,5,2,20,5967255.428571428,6098705.166666667
2013-05-15,7767784,2013,5,3,20,5977913.142857143,6167260.466666667
2013-05-16,7884887,2013,5,4,20,7071009.142857143,6241139.466666667
2013-05-17,8225841,2013,5,5,20,7034499.857142857,6330110.933333334
2013-05-18,6410461,2013,5,6,20,6999042.571428572,6352918.533333333
2013-05-19,226808,2013,5,7,20,7000644.857142857,6148815.433333334
2013-05-20,253936,2013,5,1,21,5633136.285714285,5957075.066666666
2013-05-21,7204456,2013,5,2,21,5424881.857142857,6190943.4
2013-05-22,6085235,2013,5,3,21,5184517.714285715,6075717.9
2013-05-23,6209485,2013,5,4,21,4945174.571428572,6014450.366666666
2013-05-24,6483138,2013,5,5,21,4696217.0,5991297.3
2013-05-25,5806559,2013,5,6,21,4609945.285714285,5947467.033333333
2013-05-26,201681,2013,5,7,21,4606355.714285715,5699108.633333334
2013-05-27,9944524,2013,5,1,22,5990725.428571428,5820316.633333334
2013-05-28,8390312,2013,5,2,22,6160133.428571428,6093152.633333334
2013-05-29,8885059,2013,5,3,22,6560108.285714285,6054648.533333333
2013-05-30,3422824,2013,5,4,22,6162013.857142857,5816572.9
2013-05-31,10913876,2013,5,5,22,6794976.428571428,6173669.7
2013-06-01,6907750,2013,6,6,22,6952289.428571428,6074449.0
2013-06-02,238144,2013,6,7,22,6957498.428571428,5783475.866666666
2013-06-03,10144989,2013,6,1,23,6986136.285714285,5905384.866666666
2013-06-04,8526834,2013,6,2,23,7005639.428571428,6182934.766666667
2013-06-05,7683188,2013,6,3,23,6833943.571428572,6209543.7
2013-06-06,7646668,2013,6,4,23,7437349.857142857,6241174.233333333
2013-06-07,7967656,2013,6,5,23,7016461.285714285,6250323.433333334
2013-06-08,5993792,2013,6,6,23,6885895.857142857,6442342.666666667
2013-06-09,226250,2013,6,7,23,6884196.714285715,6167170.8
2013-06-10,6667460,2013,6,1,24,6387406.857142857,6167464.066666666
2013-06-11,6201425,2013,6,2,24,6055205.571428572,6366991.833333333
2013-06-12,5961024,2013,6,3,24,5809182.142857143,6238142.766666667
2013-06-13,6044207,2013,6,4,24,5580259.142857143,6150875.1
2013-06-14,6887448,2013,6,5,24,5425943.714285715,6121530.566666666
2013-06-15,6144832,2013,6,6,24,5447520.857142857,6063528.733333333
2013-06-16,225065,2013,6,7,24,5447351.571428572,5796836.2
2013-06-17,10191372,2013,6,1,25,5950767.571428572,5922866.566666666
2013-06-18,8100286,2013,6,2,25,6222033.428571428,6185315.833333333
2013-06-19,7243757,2013,6,3,25,6405281.0,6418309.866666666
2013-06-20,7353311,2013,6,4,25,6592295.857142857,6423271.7
2013-06-21,8406280,2013,6,5,25,6809271.857142857,6500639.866666666
2013-06-22,6189413,2013,6,6,25,6815640.571428572,6499970.8
2013-06-23,224608,2013,6,7,25,6815575.285714285,6291353.133333334
2013-06-24,6511212,2013,6,1,26,6289838.142857143,6314841.566666666
2013-06-25,5827831,2013,6,2,26,5965201.714285715,6502379.9
2013-06-26,6028195,2013,6,3,26,5791550.0,6371835.6
2013-06-27,6372971,2013,6,4,26,5651501.428571428,6304590.9
2013-06-28,7625077,2013,6,5,26,5539901.0,6262591.5
2013-06-29,6909121,2013,6,6,26,5642716.428571428,6378801.4
2013-06-30,252185,2013,6,7,26,5646656.0,6023411.7
2013-07-01,10750990,2013,7,1,27,6252338.571428572,6151519.7
2013-07-02,8936605,2013,7,2,27,6696449.142857143,6441468.4
2013-07-03,8416942,2013,7,3,27,7037698.714285715,6383866.833333333
2013-07-04,8458325,2013,7,4,27,7335606.428571428,6381583.2
2013-07-05,8384512,2013,7,5,27,7444097.142857143,6404960.666666667
2013-07-06,5927036,2013,7,6,27,7303799.285714285,6347639.6
2013-07-07,234369,2013,7,7,27,7301254.142857143,6089863.366666666
2013-07-08,6652999,2013,7,1,28,6715826.857142857,6111836.933333334
2013-07-09,6157174,2013,7,2,28,6318765.285714285,6309534.4
2013-07-10,6248496,2013,7,3,28,6008987.285714285,6295568.933333334
2013-07-11,6483182,2013,7,4,28,5726824.0,6304960.833333333
2013-07-12,6699439,2013,7,5,28,5486099.285714285,6329574.666666667
2013-07-13,5987351,2013,7,6,28,5494715.714285715,6327679.466666667
2013-07-14,253582,2013,7,7,28,5497460.428571428,6106550.6
2013-07-15,11484803,2013,7,1,29,6187718.142857143,6284549.633333334
2013-07-16,9157994,2013,7,2,29,6616406.714285715,6582313.933333334
2013-07-17,8269168,2013,7,3,29,6905074.142857143,6518240.466666667
2013-07-18,8092686,2013,7,4,29,7135003.285714285,6517987.133333334
2013-07-19,8376476,2013,7,5,29,7374580.0,6555744.433333334
2013-07-20,5941848,2013,7,6,29,7368079.571428572,6508695.666666667
2013-07-21,235211,2013,7,7,29,7365455.142857143,6236326.7
2013-07-22,6285621,2013,7,1,30,6622714.857142857,6239533.633333334
2013-07-23,5767497,2013,7,2,30,6138358.142857143,6424296.6
2013-07-24,5966755,2013,7,3,30,5809442.0,6406148.033333333
2013-07-25,6065761,2013,7,4,30,5519881.285714285,6414079.033333333
2013-07-26,6270667,2013,7,5,30,5219051.428571428,6422161.433333334
2013-07-27,5448670,2013,7,6,30,5148597.428571428,6391351.4
2013-07-28,232442,2013,7,7,30,5148201.857142857,6144930.233333333
2013-07-29,11299276,2013,7,1,31,5864438.285714285,6291268.733333333
2013-07-30,10064515,2013,7,2,31,6478298.0,6618346.4
2013-07-31,10293490,2013,7,3,31,7096403.0,6603096.4
2013-08-01,8783485,2013,8,4,31,7484649.285714285,6597992.4
2013-08-02,8085626,2013,8,5,31,7743929.142857143,6586948.533333333
2013-08-03,6320830,2013,8,6,31,7868523.428571428,6515698.7
2013-08-04,252848,2013,8,7,31,7871438.571428572,6244643.233333333
2013-08-05,7169893,2013,8,1,32,7281526.714285715,6286071.8
2013-08-06,6366382,2013,8,2,32,6753222.0,6490472.233333333
2013-08-07,6414477,2013,8,3,32,6199077.285714285,6482521.5
2013-08-08,6430437,2013,8,4,32,5862927.571428572,6491630.266666667
2013-08-09,6589299,2013,8,5,32,5649166.571428572,6502990.366666666
2013-08-10,5881545,2013,8,6,32,5586411.571428572,6482935.8
2013-08-11,243358,2013,8,7,32,5585055.857142857,6267733.1
2013-08-12,11137198,2013,8,1,33,6151813.714285715,6439394.666666667
2013-08-13,9179490,2013,8,2,33,6553686.285714285,6736924.933333334
2013-08-14,8509505,2013,8,3,33,6852976.0,6637748.333333333
2013-08-15,7029537,2013,8,4,33,6938561.714285715,6566799.766666667
2013-08-16,8137427,2013,8,5,33,7159722.857142857,6562408.4
2013-08-17,5584570,2013,8,6,33,7117297.857142857,6478804.533333333
2013-08-18,241793,2013,8,7,33,7117074.285714285,6207648.433333334
2013-08-19,6391105,2013,8,1,34,6439061.0,6222623.666666667
2013-08-20,5989832,2013,8,2,34,5983395.571428572,6414444.366666666
2013-08-21,5696932,2013,8,3,34,5581599.428571428,6394821.4
2013-08-22,5759988,2013,8,4,34,5400235.285714285,6394571.1
2013-08-23,6035936,2013,8,5,34,5100022.285714285,6396877.133333334
2013-08-24,5397910,2013,8,6,34,5073356.571428572,6374615.433333334
2013-08-25,225182,2013,8,7,34,5070983.571428572,6173099.266666667
2013-08-26,10302422,2013,8,1,35,5629743.142857143,6334891.0
2013-08-27,8397061,2013,8,2,35,5973633.0,6607044.966666667
2013-08-28,7838558,2013,8,3,35,6279579.571428572,6491687.7
2013-08-29,7970501,2013,8,4,35,6595367.142857143,6421887.233333333
2013-08-30,9221577,2013,8,5,35,7050458.714285715,6386156.8
2013-08-31,6458023,2013,8,6,35,7201903.428571428,6308641.4
2013-09-01,250990,2013,9,7,35,7205590.285714285,6047486.866666666
2013-09-02,6834913,2013,9,1,36,6710231.857142857,6064622.966666667
2013-09-03,6322579,2013,9,2,36,6413877.285714285,6266947.333333333
2013-09-04,5985810,2013,9,3,36,6149199.0,6227477.9
2013-09-05,5843845,2013,9,4,36,5845391.0,6210060.0
2013-09-06,6121373,2013,9,5,36,5402504.714285715,6200289.866666666
2013-09-07,5795003,2013,9,6,36,5307787.571428572,6179108.733333333
2013-09-08,225500,2013,9,7,36,5304146.142857143,5966982.1
2013-09-09,11058017,2013,9,1,37,5907446.714285715,6139531.166666667
2013-09-10,8946722,2013,9,2,37,6282324.285714285,6429643.3
2013-09-11,8285894,2013,9,3,37,6610907.714285715,6334599.833333333
2013-09-12,8096007,2013,9,4,37,6932645.142857143,6298483.733333333
2013-09-13,8371696,2013,9,5,37,7254119.857142857,6293890.1
2013-09-14,5894325,2013,9,6,37,7268308.714285715,6256049.7
2013-09-15,224076,2013,9,7,37,7268105.285714285,5992271.333333333
2013-09-16,6130906,2013,9,1,38,6564232.285714285,6010482.533333333
2013-09-17,5785061,2013,9,2,38,6112566.428571428,6195258.133333334
2013-09-18,5438193,2013,9,3,38,5705752.0,6163494.4
2013-09-19,5797033,2013,9,4,38,5377327.142857143,6157067.766666667
2013-09-20,6042768,2013,9,5,38,5044623.142857143,6168595.633333334
2013-09-21,5745122,2013,9,6,38,5023308.428571428,6168100.1
2013-09-22,204164,2013,9,7,38,5020463.857142857,5973707.7
2013-09-23,9449348,2013,9,1,39,5494527.0,6108755.633333334
2013-09-24,7922441,2013,9,2,39,5799867.0,6365330.933333334
2013-09-25,7390563,2013,9,3,39,6078777.0,6268268.966666667
2013-09-26,7489318,2013,9,4,39,6320532.0,6238010.866666666
2013-09-27,8267396,2013,9,5,39,6638336.0,6252305.466666667
2013-09-28,6245049,2013,9,6,39,6709754.142857143,6194790.4
2013-09-29,228875,2013,9,7,39,6713284.285714285,5895033.666666667
2013-09-30,7660976,2013,9,1,40,6457802.571428572,5935132.1
2013-10-01,6677200,2013,10,2,40,6279911.0,6149339.1
2013-10-02,7168893,2013,10,3,40,6248243.857142857,6160471.766666667
2013-10-03,285518,2013,10,4,40,5219129.571428572,5959236.4
2013-10-04,8196635,2013,10,5,40,5209020.857142857,6032930.566666666
2013-10-05,6142021,2013,10,6,40,5194302.571428572,6042869.766666667
2013-10-06,217293,2013,10,7,40,5192648.0,5846067.1
2013-10-07,11062400,2013,10,1,41,5678565.714285715,6021647.0
2013-10-08,8949093,2013,10,2,41,6003121.857142857,6312433.433333334
2013-10-09,8089729,2013,10,3,41,6134669.857142857,6213490.5
2013-10-10,7809827,2013,10,4,41,7209571.142857143,6175594.0
2013-10-11,8141538,2013,10,5,41,7201700.142857143,6170782.133333334
2013-10-12,6203651,2013,10,6,41,7210504.428571428,6107703.6
2013-10-13,227064,2013,10,7,41,7211900.285714285,5836215.866666666
2013-10-14,6571405,2013,10,1,42,6570329.571428572,5858785.2
2013-10-15,5864402,2013,10,2,42,6129659.428571428,6046796.066666666
2013-10-16,5933839,2013,10,3,42,5821675.142857143,6040227.166666667
2013-10-17,5861163,2013,10,4,42,5543294.571428572,6042763.9
2013-10-18,6319569,2013,10,5,42,5283013.285714285,6072143.1
2013-10-19,5868927,2013,10,6,42,5235195.571428572,6074539.566666666
2013-10-20,208367,2013,10,7,42,5232524.571428572,5880059.533333333
2013-10-21,9833873,2013,10,1,43,5698591.428571428,6016351.233333333
2013-10-22,7927560,2013,10,2,43,5993328.285714285,6273797.766666667
2013-10-23,7416700,2013,10,3,43,6205165.571428572,6206042.833333333
2013-10-24,7378657,2013,10,4,43,6421950.428571428,6187916.7
2013-10-25,7589058,2013,10,5,43,6603306.0,6194533.2
2013-10-26,5744750,2013,10,6,43,6585566.428571428,6136380.933333334
2013-10-27,218159,2013,10,7,43,6586965.285714285,5868073.033333333
2013-10-28,5831815,2013,10,1,44,6015242.714285715,5854298.566666666
2013-10-29,6145546,2013,10,2,44,5760669.285714285,6051520.933333334
2013-10-30,6970004,2013,10,3,44,5696855.571428572,6028488.533333333
2013-10-31,6807674,2013,10,4,44,5615286.571428572,6032837.666666667
2013-11-01,3940492,2013,11,5,44,5094062.857142857,5925224.3
2013-11-02,7410509,2013,11,6,44,5332028.428571428,6162724.0
2013-11-03,175864,2013,11,7,44,5325986.285714285,5895364.966666667
2013-11-04,10568398,2013,11,1,45,6002641.0,6042910.866666666
2013-11-05,9306571,2013,11,2,45,6454216.0,6345886.8
2013-11-06,8224747,2013,11,3,45,6633465.0,6251298.366666666
2013-11-07,7951819,2013,11,4,45,6796914.285714285,6218055.9
2013-11-08,8443830,2013,11,5,45,7440248.285714285,6229859.266666667
2013-11-09,6566741,2013,11,6,45,7319710.0,6188423.066666666
2013-11-10,187852,2013,11,7,45,7321422.571428572,5923300.2
2013-11-11,6423778,2013,11,1,46,6729334.0,5930637.766666667
2013-11-12,6003149,2013,11,2,46,6257416.571428572,6123173.933333334
2013-11-13,6028677,2013,11,3,46,5943692.285714285,6105083.0
2013-11-14,6140303,2013,11,4,46,5684904.285714285,6114279.7
2013-11-15,6741987,2013,11,5,46,5441783.857142857,6141217.966666667
2013-11-16,6605960,2013,11,6,46,5447386.571428572,6166044.533333333
2013-11-17,194615,2013,11,7,46,5448352.714285715,5961879.4
2013-11-18,10528615,2013,11,1,47,6034758.0,6117202.333333333
2013-11-19,8895888,2013,11,2,47,6448006.428571428,6406786.366666666
2013-11-20,7472513,2013,11,3,47,6654268.714285715,6328074.366666666
2013-11-21,8084449,2013,11,4,47,6932003.857142857,6333304.0
2013-11-22,8199106,2013,11,5,47,7140163.714285715,6359384.2
2013-11-23,6593077,2013,11,6,47,7138323.285714285,6333198.2
2013-11-24,198110,2013,11,7,47,7138822.571428572,6086833.266666667
2013-11-25,7204808,2013,11,1,48,6663993.0,6135501.866666666
